Name, DisplaySym, Yahoo Symbol, TradingView Symbol, TradingView Symbol Potential
10-Year Treasury, US10Y, ^TNX, NASDAQ:IEF, TVC:US10Y
2-Year Treasury, US02Y, US2Y, NASDAQ:SHY, TVC:US02Y
30-Year Treasury, US30Y, ^TYX, NASDAQ:TLT, TVC:US30Y
Aluminum, ALI1!, ALI1!, AMEX:JJU, COMEX:ALI1!
, BTC, BTC-USD, COINBASE:BTCUSD, COINBASE:BTCUSD
CAC 40, CAC, ^FCHI, OANDA:FR40EUR, TVC:CAC40
CBOE VIX, CBOE:VIX, ^VIX, VIX, TVC:VIX
Copper, HG1!, HG=F, CAPITALCOM:COPPER, COMEX:HG1!
CSI 300, CSI300, 000300.SS, SZSE:399300, SZSE:399300
DAX, DAX, ^GDAXI, OANDA:DE30EUR, TVC:DAX
Dow Jones Futures, YM1!, YM=F, OANDA:US30USD, CBOT:YM1!
, ETH, ETH-USD, COINBASE:ETHUSD, COINBASE:ETHUSD
FTSE 100, UKX, ^FTSE, OANDA:UK100GBP, TVC:UKX
Gold, GC1!, GC=F, OANDA:XAUUSD, COMEX:GC1!
Hang Seng, HSI, ^HSI, FXOPEN:HSI, TVC:HSI
KOSPI, KOSPI, ^KS11, AMEX:EWY, TVC:KOSPI
Nasdaq Futures, NQ1!, NQ=F, OANDA:NAS100USD, CME:NQ1!
Natural Gas, NG1!, NG=F, OANDA:NATGASUSD, NYMEX:NG1!
Nifty 50, NIFTY, ^NSEI, AMEX:INDA, TVC:NIFTY
Nikkei 225, N225, ^N225, OANDA:JP225USD, TVC:NI225
Palladium, PA1!, PA=F, OANDA:XPDUSD, COMEX:PA1!
Platinum, PL1!, PL=F, OANDA:XPTUSD, COMEX:PL1!
Russell 2000 Futures, RTY1!, RTY=F, OANDA:US2000USD, CME:RTY1!
S&P 500 Futures, ES1!, ES=F, OANDA:SPX500USD, CME:ES1!
Shanghai Comp., SHCOMP, 000001.SS, SSE:000001, SSE:000001
Silver, SI1!, SI=F, OANDA:XAGUSD, COMEX:SI1!
, SOL, SOL-USD, COINBASE:SOLUSD, COINBASE:SOLUSD
US Dollar Index, DXY, DX-Y.NYB, CAPITALCOM:DXY, TVC:DXY
WTI Crude Oil, CL1!, CL=F, OANDA:WTICOUSD, NYMEX:CL1!
, XRP, XRP-USD, COINBASE:XRPUSD, COINBASE:XRPUSD
