Name, DisplaySym, Yahoo Symbol, TradingView Symbol, TradingView Symbol Potential
10-Year Treasury, US10Y, ^TNX, NASDAQ:IEF, TVC:US10Y
2-Year Treasury, US02Y, US2Y, NASDAQ:SHY, TVC:US02Y
30-Year Treasury, US30Y, ^TYX, NASDAQ:TLT, TVC:US30Y
AdvisorShares US Cannabis, MSOS, MSOS, , MSOS
ALPS Clean Energy, ACES, ACES, , ACES
Aluminum, ALI1!, ALI1!, AMEX:JJU, COMEX:ALI1!
Amplify Blockchain Tech, BLOK, BLOK, , BLOK
Amplify Online Retail, IBUY, IBUY, , IBUY
Argentina, ARGT, ARGT, , ARGT
ARK Genomic Revolution, ARKG, ARKG, , ARKG
ARK Innovation, ARKK, ARKK, , ARKK
Australia, EWA, EWA, , EWA
Austria, EWO, EWO, , EWO
Belgium, EWK, EWK, , EWK
Brazil, EWZ, EWZ, , EWZ
, BTC, BTC-USD, COINBASE:BTCUSD, COINBASE:BTCUSD
CAC 40, CAC, ^FCHI, OANDA:FR40EUR, TVC:CAC40
Canada, EWC, EWC, , EWC
CBOE VIX, CBOE:VIX, ^VIX, VIX, TVC:VIX
Chile, ECH, ECH, , ECH
China, MCHI, MCHI, , MCHI
China S&P ETF, GXC, GXC, , GXC
CoinShares BTC & Ether, BTF, BTF, , BTF
CoinShares Crypto Miners, WGMI, WGMI, , WGMI
Comm Svcs EW, RSPC, RSPC, , RSPC
Comm. Services, XLC, XLC, , XLC
Cons Discr EW, RSPD, RSPD, , RSPD
Cons Staples EW, RSPS, RSPS, , RSPS
Consumer Discret., XLY, XLY, , XLY
Consumer Staples, XLP, XLP, , XLP
Copper, HG1!, HG=F, CAPITALCOM:COPPER, COMEX:HG1!
Core MSCI Europe, IEUR, IEUR, , IEUR
CSI 300, CSI300, 000300.SS, SZSE:399300, SZSE:399300
DAX, DAX, ^GDAXI, OANDA:DE30EUR, TVC:DAX
Defiance Quantum, QTUM, QTUM, , QTUM
Dow Jones Futures, YM1!, YM=F, OANDA:US30USD, CBOT:YM1!
Emerging Markets, EEM, EEM, , EEM
Energy, XLE, XLE, , XLE
Energy EW, RSPG, RSPG, , RSPG
ETFMG Prime Cybersecurity, HACK, HACK, , HACK
, ETH, ETH-USD, COINBASE:ETHUSD, COINBASE:ETHUSD
Europe, IEV, IEV, , IEV
Europe Financials, EUFN, EUFN, , EUFN
Eurozone, EZU, EZU, , EZU
Financials, XLF, XLF, , XLF
Financials EW, RSPF, RSPF, , RSPF
First Trust Cloud Computing, SKYY, SKYY, , SKYY
First Trust Cybersecurity, CIBR, CIBR, , CIBR
First Trust DJ Internet, FDN, FDN, , FDN
France, EWQ, EWQ, , EWQ
FTSE 100, UKX, ^FTSE, OANDA:UK100GBP, TVC:UKX
Germany, EWG, EWG, , EWG
Global X AI & Robotics, BOTZ, BOTZ, , BOTZ
Global X AI & Technology, AIQ, AIQ, , AIQ
Global X Autonomous & EV, DRIV, DRIV, , DRIV
Global X Cloud Computing, CLOU, CLOU, , CLOU
Global X Copper Miners, COPX, COPX, , COPX
Global X FinTech, FINX, FINX, , FINX
Global X Lithium & Battery, LIT, LIT, , LIT
Global X U.S. Infrastructure, PAVE, PAVE, , PAVE
Global X Uranium, URA, URA, , URA
Global X Video Games & Esports, HERO, HERO, , HERO
Gold, GC1!, GC=F, OANDA:XAUUSD, COMEX:GC1!
Greece, GREK, GREK, , GREK
Hang Seng, HSI, ^HSI, FXOPEN:HSI, TVC:HSI
Health Care, XLV, XLV, , XLV
Health Care EW, RSPH, RSPH, , RSPH
Hong Kong, EWH, EWH, , EWH
India, INDA, INDA, , INDA
Indonesia, EIDO, EIDO, , EIDO
Industrials, XLI, XLI, , XLI
Industrials EW, RSPN, RSPN, , RSPN
Innovator IBD 50, FFTY, FFTY, , FFTY
Innovator IBD Breakout, BOUT, BOUT, , BOUT
Invesco DB Agriculture, DBA, DBA, , DBA
Invesco DB Commodity, DBC, DBC, , DBC
Invesco DB USD Bullish, UUP, UUP, , UUP
Invesco QQQ, QQQ, QQQ, , QQQ
Invesco Solar, TAN, TAN, , TAN
Invesco Water Resources, PHO, PHO, , PHO
Invesco WilderHill Clean E, PBW, PBW, , PBW
iSh Aerospace & Defense, ITA, ITA, , ITA
iSh Global Clean Energy, ICLN, ICLN, , ICLN
iSh S&P 400 MidCap Growth, IJK, IJK, , IJK
iSh S&P 400 MidCap Value, IJJ, IJJ, , IJJ
iSh S&P 500 Growth, IVW, IVW, , IVW
iSh S&P 500 Value, IVE, IVE, , IVE
iSh S&P 600 SmCap Growth, IJT, IJT, , IJT
iSh S&P 600 SmCap Value, IJS, IJS, , IJS
iSh Semiconductor, SOXX, SOXX, , SOXX
iShares 0-1 Yr Treasury, SHV, SHV, , SHV
iShares 20+ Yr Treasury, TLT, TLT, , TLT
iShares 3-7 Yr Treasury, IEI, IEI, , IEI
iShares 7-10 Yr Treasury, IEF, IEF, , IEF
iShares China Large Cap, FXI, FXI, , FXI
iShares Core US Agg Bond, AGG, AGG, , AGG
iShares Expanded Tech-SW, IGV, IGV, , IGV
iShares Genomics Immuno, IDNA, IDNA, , IDNA
iShares Global Energy, IXC, IXC, , IXC
iShares HY Corporate Bond, HYG, HYG, , HYG
iShares IG Corporate Bond, LQD, LQD, , LQD
iShares Russell 2000, IWM, IWM, , IWM
iShares Russell 2000 Gr, IWO, IWO, , IWO
iShares Self-Driving EV, IDRV, IDRV, , IDRV
iShares Silver, SLV, SLV, , SLV
iShares US Broker-Dealers, IAI, IAI, , IAI
iShares US Home Const, ITB, ITB, , ITB
iShares US Medical Devices, IHI, IHI, , IHI
iShares US Real Estate, IYR, IYR, , IYR
iShares US Transportation, IYT, IYT, , IYT
Italy, EWI, EWI, , EWI
Japan, EWJ, EWJ, , EWJ
KOSPI, KOSPI, ^KS11, AMEX:EWY, TVC:KOSPI
KraneShares China Internet, KWEB, KWEB, , KWEB
Malaysia, EWM, EWM, , EWM
Materials, XLB, XLB, , XLB
Materials EW, RSPM, RSPM, , RSPM
Mexico, EWW, EWW, , EWW
MSCI ACWI, ACWI, ACWI, , ACWI
MSCI EAFE, EFA, EFA, , EFA
Nasdaq Futures, NQ1!, NQ=F, OANDA:NAS100USD, CME:NQ1!
Natural Gas, NG1!, NG=F, OANDA:NATGASUSD, NYMEX:NG1!
Netherlands, EWN, EWN, , EWN
Nifty 50, NIFTY, ^NSEI, AMEX:INDA, TVC:NIFTY
Nikkei 225, N225, ^N225, OANDA:JP225USD, TVC:NI225
Palladium, PA1!, PA=F, OANDA:XPDUSD, COMEX:PA1!
Philippines, EPHE, EPHE, , EPHE
Platinum, PL1!, PL=F, OANDA:XPTUSD, COMEX:PL1!
Procure Space, UFO, UFO, , UFO
Real Estate, XLRE, XLRE, , XLRE
Real Estate EW, RSPR, RSPR, , RSPR
Renaissance IPO, IPO, IPO, , IPO
ROBO Global Robotics, ROBO, ROBO, , ROBO
Russell 2000 Futures, RTY1!, RTY=F, OANDA:US2000USD, CME:RTY1!
S&P 500 EW, RSP, RSP, , RSP
S&P 500 Futures, ES1!, ES=F, OANDA:SPX500USD, CME:ES1!
Saudi Arabia, KSA, KSA, , KSA
Shanghai Comp., SHCOMP, 000001.SS, SSE:000001, SSE:000001
Silver, SI1!, SI=F, OANDA:XAGUSD, COMEX:SI1!
Singapore, EWS, EWS, , EWS
, SOL, SOL-USD, COINBASE:SOLUSD, COINBASE:SOLUSD
South Africa, EZA, EZA, , EZA
